,semivariance,n_pairs,lag_bin,azimuth
43,0.09572394885273423,66,122.33333333333324,0.0
44,0.038828464380872174,769,7.666666666666387,22.5
45,0.04490821980717049,2232,10.333333333333059,22.5
46,0.05705731979320196,709,12.999999999999728,22.5
47,0.04410537749332309,2109,15.6666666666664,22.5
48,0.0540533008441502,1339,18.333333333333073,22.5
49,0.04738975183502704,2623,20.99999999999974,22.5
50,0.056373328211799516,1315,23.666666666666412,22.5
51,0.05386787801180054,4207,26.333333333333083,22.5
52,0.0536623064556551,2285,28.999999999999755,22.5
53,0.05520682661573385,3347,31.666666666666426,22.5
54,0.05685685415299424,2901,34.3333333333331,22.5
55,0.061073030860355294,3032,36.999999999999766,22.5
56,0.06145676380449264,2855,39.66666666666644,22.5
57,0.06484633626060489,2949,42.33333333333311,22.5
58,0.06659841477840082,3245,44.99999999999978,22.5
59,0.06828648620072815,1440,47.66666666666645,22.5
60,0.07049863456472123,3714,50.33333333333312,22.5
61,0.07486326109302276,2532,52.999999999999794,22.5
62,0.07231831250385452,2116,55.666666666666465,22.5
63,0.07944765879946589,2143,58.33333333333314,22.5
64,0.07985369861563558,3103,60.99999999999981,22.5
65,0.08478549300334379,1821,63.66666666666648,22.5
66,0.08878175140843572,2984,66.33333333333314,22.5
67,0.09181357585054432,1954,68.99999999999982,22.5
68,0.09531454656570541,2293,71.66666666666649,22.5
69,0.09694936024986474,1953,74.33333333333316,22.5
70,0.10170567269865836,1897,76.99999999999983,22.5
71,0.09691641478684489,1599,79.6666666666665,22.5
72,0.10947347907900065,1442,82.33333333333317,22.5
73,0.09901231586663946,1782,84.99999999999984,22.5
74,0.10528227684345295,926,87.66666666666652,22.5
75,0.0922246779301925,1150,90.33333333333319,22.5
76,0.10997783362952276,1077,92.99999999999986,22.5
77,0.10383598463239949,1017,95.66666666666653,22.5
78,0.11533612232326476,691,98.3333333333332,22.5
79,0.09897541792887574,578,100.99999999999987,22.5
80,0.1269461894382299,497,103.66666666666654,22.5
81,0.10959012877377017,518,106.33333333333321,22.5
82,0.11205620687353704,355,108.99999999999989,22.5
83,0.07340585943363329,231,111.66666666666656,22.5
84,0.12456684600239414,229,114.33333333333323,22.5
85,0.12009205702214665,164,116.9999999999999,22.5
86,0.10616181779871817,123,119.66666666666657,22.5
87,0.09572394885273423,66,122.33333333333324,22.5
88,0.038828464380872174,769,7.666666666666387,45.0
89,0.04490821980717049,2232,10.333333333333059,45.0
90,0.05705731979320196,709,12.999999999999732,45.0
91,0.04410537749332309,2109,15.666666666666403,45.0
92,0.0540533008441502,1339,18.333333333333073,45.0
93,0.04738975183502704,2623,20.999999999999748,45.0
94,0.055994303169771165,1327,23.66666666666642,45.0
95,0.05386787801180054,4207,26.33333333333309,45.0
96,0.0536623064556551,2285,28.999999999999762,45.0
97,0.05520682661573385,3347,31.666666666666433,45.0
98,0.05618553385172883,3188,34.3333333333331,45.0
99,0.061073030860355294,3032,36.99999999999978,45.0
100,0.061211417299104495,3382,39.66666666666645,45.0
101,0.0650731092830482,3199,42.33333333333312,45.0
102,0.06728422372628792,3719,44.999999999999794,45.0
103,0.06812644426292008,1658,47.666666666666465,45.0
104,0.07002138478241425,4337,50.33333333333314,45.0
105,0.07425169063142836,2929,52.99999999999981,45.0
106,0.0709187665441125,2296,55.66666666666648,45.0
107,0.07680800642094164,2677,58.33333333333315,45.0
